,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1624,4,100,79,1,42.31688,-71.05745,5,32,2,3.0,0.06666666666666667,0.4666666666666667,0.5444444444444444,0.13424657534246576,64,4.7,4.81,4.86,4.97,4.91,4.91,4.75,0,118,2.1671232876712327,0,0,0,1,1,0,0,0,3.367729841862645,0.6232660012117507
1626,5,75,25,0,42.34537,-71.10372,4,31,91,1.0,0.0,0.0,0.0,0.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,299,2.16986301369863,0,1,0,0,1,0,0,0,0.7707843132697683,1.6362631738058457
1627,6,100,25,0,42.3469,-71.16913,5,28,91,2.0,0.0,0.0,0.1111111111111111,0.7808219178082192,30,4.73,4.77,4.7,4.67,4.63,4.9,4.7,0,75,3.0931506849315067,0,0,0,1,1,0,0,0,5.3482913349612655,5.5142621293802705
1632,9,100,96,1,42.29643,-71.11508,5,23,29,2.0,0.0,0.0,0.0,0.0,78,4.86,4.9,4.95,4.94,4.94,4.88,4.87,1,120,7.304109589041096,0,0,0,1,1,0,0,0,4.778262590107052,1.866408067252331
1633,6,80,83,1,42.35987,-71.06598,2,18,29,1.0,0.0,0.16666666666666666,0.4444444444444444,0.6027397260273972,8,5.0,5.0,4.63,5.0,5.0,5.0,4.75,0,194,2.202739726027397,0,1,0,0,1,0,0,0,0.1474502181071647,0.43918155068602716
1636,8,83,67,1,42.36004,-71.12818,1,26,91,1.0,0.0,0.0,0.1111111111111111,0.7808219178082192,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0,30,6.282191780821917,0,0,1,0,0,0,1,0,2.140408611639617,2.232209210371966
1637,5,100,100,1,42.32239,-71.08039,4,30,2,2.0,0.9666666666666667,0.5166666666666667,0.34444444444444444,0.08493150684931507,9,4.33,4.56,4.44,5.0,4.89,4.22,4.11,0,120,3.175342465753425,0,0,0,1,0,0,1,0,2.343972126780432,1.6171378001005734
1639,4,100,79,1,42.31535,-71.05873,11,33,2,6.0,0.2,0.3333333333333333,0.5111111111111111,0.136986301369863,46,4.91,4.96,4.93,4.93,4.96,4.83,4.87,0,149,2.1671232876712327,0,0,0,1,1,0,0,0,3.426049635582626,0.737864595870614
1642,4,100,99,0,42.36954,-71.03799,6,40,2,2.0,0.0,0.0,0.0,0.0,32,4.84,4.94,5.0,4.91,4.94,4.84,4.75,1,176,2.3534246575342466,0,0,0,1,1,0,0,0,1.6054870952039595,0.872979780907283
1643,2,99,100,0,42.35144,-71.07072,3,26,1,1.0,1.0,1.0,1.0,0.9397260273972603,27,4.48,4.59,4.48,4.89,4.74,4.85,4.41,1,246,2.3972602739726026,0,0,0,1,0,0,1,0,0.54175940131425,0.6173707163322579
1644,2,99,100,0,42.35043,-71.0707,4,27,1,2.0,0.9666666666666667,0.9833333333333333,0.9666666666666667,0.8684931506849315,8,4.88,4.88,5.0,5.0,5.0,5.0,5.0,1,258,2.3972602739726026,0,0,0,1,0,0,1,0,0.5881755777624327,0.5832054661909895
1645,2,99,100,0,42.34996,-71.06991,3,26,1,1.0,0.0,0.0,0.0,0.0,20,4.7,4.45,4.8,4.7,4.8,4.85,4.7,1,268,2.3972602739726026,0,0,0,1,0,0,1,0,0.6436791275568188,0.5563883044215878
1646,2,99,100,0,42.35015,-71.06913,4,25,1,2.0,0.0,0.0,0.0,0.0,6,4.83,4.83,5.0,4.83,5.0,5.0,4.67,1,268,2.3972602739726026,0,0,0,1,0,0,1,0,0.673046977004912,0.5405865925961918
1647,2,99,100,0,42.35061,-71.06868,3,25,1,1.0,1.0,1.0,1.0,0.8821917808219178,6,4.0,3.67,4.33,4.33,4.33,4.33,3.83,1,273,2.3972602739726026,0,0,0,1,0,0,1,0,0.6743123992333755,0.5231065877519819
1653,2,100,100,1,42.38586,-71.01381,3,30,2,2.0,0.03333333333333333,0.05,0.15555555555555556,0.2328767123287671,55,4.87,4.89,4.85,4.89,4.91,4.82,4.75,0,149,3.695890410958904,0,0,0,1,1,0,0,0,4.14063046732042,1.025717770166764
1654,5,91,98,0,42.34459,-71.08019,4,26,1,2.0,0.6333333333333333,0.7333333333333333,0.8,0.9342465753424658,94,4.21,4.2,4.47,4.76,4.68,4.88,4.4,1,228,11.386301369863014,0,0,0,1,1,0,0,0,0.5372293995371352,0.6968574245044833
1655,5,91,98,0,42.34389,-71.07927,3,26,91,2.0,0.7666666666666667,0.8833333333333333,0.9,0.958904109589041,11,4.3,3.9,4.7,4.8,4.0,4.9,4.5,1,187,11.386301369863014,0,0,0,1,0,0,1,0,0.6027301959389382,0.695921256826044
